,Usuario,Data,Valor,Conta,Categoria,Recorrente,Efetuado,Descrição
0,paulo.felix,2023-01-15,4500.0,Itau Pessoal,Aluguel,0,1,Aluguel
1,paulo.felix,2023-02-15,4500.0,Itau Pessoal,Aluguel,0,1,Aluguel
2,paulo.felix,2023-03-15,4500.0,Itau Pessoal,Aluguel,0,1,Aluguel
3,paulo.felix,2023-04-15,4500.0,Itau Pessoal,Aluguel,0,1,Aluguel
4,paulo.felix,2023-05-15,4500.0,Itau Pessoal,Aluguel,0,1,Aluguel
5,paulo.felix,2023-06-15,4500.0,Itau Pessoal,Aluguel,0,1,Aluguel
6,paulo.felix,2023-01-25,12000.0,Itau Familia,Cartão de Credito,0,1,Aluguel
7,paulo.felix,2023-02-25,12000.0,Itau Familia,Cartão de Credito,0,1,Aluguel
8,paulo.felix,2023-02-25,500.0,Itau Familia,Mercado,0,1,Mercado
9,paulo.felix,2023-03-09,500.0,Itau Familia,Mercado,0,1,Mercado
10,paulo.felix,2023-04-13,500.0,Itau Familia,Mercado,0,1,Mercado
11,paulo.felix,2023-05-18,500.0,Itau Familia,Mercado,0,1,Mercado
12,paulo.felix,2023-06-06,500.0,Itau Familia,Mercado,0,1,Mercado
13,paulo.felix,2023-01-11,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
14,paulo.felix,2023-01-25,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
15,paulo.felix,2023-02-08,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
16,paulo.felix,2023-02-22,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
17,paulo.felix,2023-03-08,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
18,paulo.felix,2023-03-22,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
19,paulo.felix,2023-04-12,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
20,paulo.felix,2023-04-26,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
21,paulo.felix,2023-05-10,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
22,paulo.felix,2023-05-24,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
23,paulo.felix,2023-06-07,350.0,Itau Familia,Transporte,0,1,Carro - Gasolina
